Price_per_GB,Price_per_TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML,,,,
$0.05 ,$52.75 ,$53 ,1 TB,5 years,Internal,SSD,Used,"Western Digital 1TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS100T3B0A","<a href=""https://www.amazon.com/dp/B09ZYQ84CM"">Western Digital 1TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS100T3B0A</a>","<a href=""https://www.amazon.com/dp/B09ZYQ84CM"">Western Digital 1TB WD Blue SA510 SATA Internal Solid State Drive SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 560 MB/s - WDS100T3B0A</a>",,,
$0.05 ,$52.80 ,$26 ,25 GB x20,,Optical,BD-RE,New,"Maxell BD-RE 20 Sheets for Recording BEV25EG.20SPZ, Repeated Recording Type, 25 GB (Single Layer), Terrestrial Digital 180 Minutes, BS Digital 130 Minutes, 4K BS, CS 90 Minutes Spindle Case, Inkjet","<a href=""https://www.amazon.com/dp/B0DDPML81R"">Maxell BD-RE 20 Sheets for Recording BEV25EG.20SPZ, Repeated Recording Type, 25 GB (Single Layer), Terrestrial Digital 180 Minutes, BS Digital 130 Minutes, 4K BS, CS 90 Minutes Spindle Case, Inkjet</a>",,,,
$0.05 ,$52.97 ,$159 ,3 TB,5 years,"Internal 3.5""",HDD,Used,WD SE 3TB Datacenter Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch - WD3000F9YZ,"<a href=""https://www.amazon.com/dp/B00CYSYZZC"">WD SE 3TB Datacenter Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch - WD3000F9YZ</a>","<a href=""https://www.amazon.com/dp/B00CYSYZZC"">WD SE 3TB Datacenter Hard Disk Drive - 7200 RPM SATA 6 Gb/s 64MB Cache 3.5 Inch - WD3000F9YZ</a>",,,
$0.05 ,$52.98 ,$25 ,4.7 GB x100,1 year,Optical,DVD-R,New,"Verbatim DVD-R Blank 16X DVD-R DVR 4.7GB Logo Branded Recordable Media Disc, 100pk Spindle","<a href=""https://www.amazon.com/dp/B0D9RB2CXN"">Verbatim DVD-R Blank 16X DVD-R DVR 4.7GB Logo Branded Recordable Media Disc, 100pk Spindle</a>",,,,
$0.05 ,$53.00 ,$106 ,2 TB,,Internal,SSD,New,fanxiang 2TB SATA SSD 2.5'' SSD SATA III 6 Gb/s Internal Solid State Drive Up to 560 MB/s 3D NAND SLC Cache for Laptop and PC Desktop Performance Boost 7mm(0.28″) S101Q,"<a href=""https://www.amazon.com/dp/B0CM8M8293"">fanxiang 2TB SATA SSD 2.5'' SSD SATA III 6 Gb/s Internal Solid State Drive Up to 560 MB/s 3D NAND SLC Cache for Laptop and PC Desktop Performance Boost 7mm(0.28″) S101Q</a>",,,,
$0.05 ,$53.00 ,$106 ,2 TB,,"Internal 3.5""",HDD,New,Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive,"<a href=""https://www.amazon.com/dp/B00QJA931C"">Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive</a>","<a href=""https://www.amazon.com/dp/B00QJA931C"">Western Digital WD20EFRX 2TB 3.5-inch SATA 6Gb/s 64MB Cache Hard Drive</a>",,,
$0.05 ,$53.08 ,$25 ,4.7 GB x100,,Optical,DVD-R,New,"PlexDisc 95079 DVD-R 4.7GB 16X White Inkjet Hub Printable - 100pk Spindle Frustration Free Packaging, 100 Disc","<a href=""https://www.amazon.com/dp/B0B6B5TFWY"">PlexDisc 95079 DVD-R 4.7GB 16X White Inkjet Hub Printable - 100pk Spindle Frustration Free Packaging, 100 Disc</a>",,,,
$0.05 ,$53.12 ,$850 ,8 TB x2,3 years,"External 3.5""",HDD,New,"Glyph Production Technologies Blackbox PRO RAID Thunderbolt 3, 16TB","<a href=""https://www.amazon.com/dp/B0BZ8WTYGN"">Glyph Production Technologies Blackbox PRO RAID Thunderbolt 3, 16TB</a>",,,,
$0.05 ,$53.12 ,$850 ,16 TB,2 years,"External 3.5""",HDD,New,BUSlink CSX-16TSU3 CipherShield FIPS 140-2 Level 2 HIPAA 512-bit AES USB 3.0/eSATA Hardware Encrypted External Desktop Hard Drive (16TB),"<a href=""https://www.amazon.com/dp/B07SSXMV5T"">BUSlink CSX-16TSU3 CipherShield FIPS 140-2 Level 2 HIPAA 512-bit AES USB 3.0/eSATA Hardware Encrypted External Desktop Hard Drive (16TB)</a>",,,,
$0.05 ,$53.17 ,$25 ,4.7 GB x100,1 year,Optical,DVD-R,New,Optical Quantum DVD-R 4.7GB 16x Shiny Silver Top Media Disc - 100 Disc Spindle (FFP) OQDMR16ST-BX,"<a href=""https://www.amazon.com/dp/B003MUT66Y"">Optical Quantum DVD-R 4.7GB 16x Shiny Silver Top Media Disc - 100 Disc Spindle (FFP) OQDMR16ST-BX</a>",,,,
$0.05 ,$53.17 ,$25 ,4.7 GB x100,1 year,Optical,DVD-R,New,"PlexDisc DVD+R 4.7GB 16X White Inkjet Printable Hub Printable - 100pk Cake Box (FFB) 63C-215-BX, 100 pieces","<a href=""https://www.amazon.com/dp/B001T40FWY"">PlexDisc DVD+R 4.7GB 16X White Inkjet Printable Hub Printable - 100pk Cake Box (FFB) 63C-215-BX, 100 pieces</a>",,,,
$0.05 ,$53.18 ,$27 ,256 GB x2,1 year,USB,Flash,Used,"PNY P-FD256X2TBOP-MP 256GB Turbo Attaché 3 USB 3.0 Flash Drive,Silver (Pack of 2)","<a href=""https://www.amazon.com/dp/B0BDTKK1XZ"">PNY P-FD256X2TBOP-MP 256GB Turbo Attaché 3 USB 3.0 Flash Drive,Silver (Pack of 2)</a>","<a href=""https://www.amazon.com/dp/B0BDTKK1XZ"">PNY P-FD256X2TBOP-MP 256GB Turbo Attaché 3 USB 3.0 Flash Drive,Silver (Pack of 2)</a>",,,
$0.05 ,$53.26 ,$107 ,2 TB,5 years,M.2,NVMe,Used,"Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops","<a href=""https://www.amazon.com/dp/B0CJRTVLJ2"">Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops</a>","<a href=""https://www.amazon.com/dp/B0CJRTVLJ2"">Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops</a>",,,
$0.05 ,$53.33 ,$24 ,450 GB,5 years,Internal,SAS,Used,Seagate 450GB Cheetah SAS 6Gb/s 16MB Cache 3.5-Inch Internal Bare Drive (ST3450857SS),"<a href=""https://www.amazon.com/dp/B002P4MLOC"">Seagate 450GB Cheetah SAS 6Gb/s 16MB Cache 3.5-Inch Internal Bare Drive (ST3450857SS)</a>","<a href=""https://www.amazon.com/dp/B002P4MLOC"">Seagate 450GB Cheetah SAS 6Gb/s 16MB Cache 3.5-Inch Internal Bare Drive (ST3450857SS)</a>",,,
$0.05 ,$53.46 ,$107 ,2 TB,3 years,M.2,NVMe,Used,"SanDisk 2TB SSD Plus M.2 NVMe SSD - PCIE Gen 3.0, Up to 3,200 MB/s - Internal Solid State Drive - SDSSDA3N-2T00-G26","<a href=""https://www.amazon.com/dp/B0CN3MNWM4"">SanDisk 2TB SSD Plus M.2 NVMe SSD - PCIE Gen 3.0, Up to 3,200 MB/s - Internal Solid State Drive - SDSSDA3N-2T00-G26</a>","<a href=""https://www.amazon.com/dp/B0CN3MNWM4"">SanDisk 2TB SSD Plus M.2 NVMe SSD - PCIE Gen 3.0, Up to 3,200 MB/s - Internal Solid State Drive - SDSSDA3N-2T00-G26</a>",,,
$0.05 ,$53.51 ,$54 ,1 TB,5 years,M.2,NVMe,Used,"Western Digital 1TB WD Blue SN580 NVMe Internal Solid State Drive SSD - Gen4 x4 PCIe 16Gb/s, M.2 2280, Up to 4,150 MB/s - WDS100T3B0E","<a href=""https://www.amazon.com/dp/B0C8XMH264"">Western Digital 1TB WD Blue SN580 NVMe Internal Solid State Drive SSD - Gen4 x4 PCIe 16Gb/s, M.2 2280, Up to 4,150 MB/s - WDS100T3B0E</a>","<a href=""https://www.amazon.com/dp/B0C8XMH264"">Western Digital 1TB WD Blue SN580 NVMe Internal Solid State Drive SSD - Gen4 x4 PCIe 16Gb/s, M.2 2280, Up to 4,150 MB/s - WDS100T3B0E</a>",,,
$0.05 ,$53.68 ,$107 ,2 TB,3 years,Internal,SSD,Used,"SanDisk SSD PLUS 2TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 545 MB/s - SDSSDA-2T00-G26","<a href=""https://www.amazon.com/dp/B07YFFJK2Q"">SanDisk SSD PLUS 2TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 545 MB/s - SDSSDA-2T00-G26</a>","<a href=""https://www.amazon.com/dp/B07YFFJK2Q"">SanDisk SSD PLUS 2TB Internal SSD - SATA III 6 Gb/s, 2.5""/7mm, Up to 545 MB/s - SDSSDA-2T00-G26</a>",,,
$0.05 ,$53.75 ,$430 ,8 TB,3 years,External,SSD,New,"SAMSUNG T5 EVO Portable SSD 8TB, USB 3.2 Gen 1 External Solid State Drive, Seq. Read Speeds Up to 460MB/s for Gaming and Content Creation, MU-PH8T0S/AM, Black","<a href=""https://www.amazon.com/dp/B0CMDGGJTZ"">SAMSUNG T5 EVO Portable SSD 8TB, USB 3.2 Gen 1 External Solid State Drive, Seq. Read Speeds Up to 460MB/s for Gaming and Content Creation, MU-PH8T0S/AM, Black</a>","<a href=""https://www.amazon.com/dp/B0CMDGGJTZ"">SAMSUNG T5 EVO Portable SSD 8TB, USB 3.2 Gen 1 External Solid State Drive, Seq. Read Speeds Up to 460MB/s for Gaming and Content Creation, MU-PH8T0S/AM, Black</a>",,,
$0.05 ,$53.98 ,$27 ,500 GB,3 years,Internal,SSD,New,"fanxiang S101 500GB SSD SATA III 6Gb/s 2.5"" Internal Solid State Drive, Read Speed up to 550MB/sec, Compatible with Laptop and PC Desktops(Black)","<a href=""https://www.amazon.com/dp/B0B5CH6B2L"">fanxiang S101 500GB SSD SATA III 6Gb/s 2.5"" Internal Solid State Drive, Read Speed up to 550MB/sec, Compatible with Laptop and PC Desktops(Black)</a>",,,,
$0.05 ,$53.99 ,$54 ,1 TB,,Internal,SSD,Used,"KingSpec M.2 SATA SSD, 1TB 2280 SATA III 6Gbps Internal M.2 SSD, Ultra-Slim NGFF State Drive for Desktop/Laptop/Notebook","<a href=""https://www.amazon.com/dp/B01N10L1XS"">KingSpec M.2 SATA SSD, 1TB 2280 SATA III 6Gbps Internal M.2 SSD, Ultra-Slim NGFF State Drive for Desktop/Laptop/Notebook</a>","<a href=""https://www.amazon.com/dp/B01N10L1XS"">KingSpec M.2 SATA SSD, 1TB 2280 SATA III 6Gbps Internal M.2 SSD, Ultra-Slim NGFF State Drive for Desktop/Laptop/Notebook</a>",,,
$0.05 ,$54.00 ,$108 ,2 TB,5 years,M.2,NVMe,New,"acer FA100 2TB M.2 SSD 2280 NVMe Gen3 x4 Internal Solid State Drive, Up to 8 Gb/s, Storage for PC and Laptops - BL.9BWWA.121","<a href=""https://www.amazon.com/dp/B08Z3P65PX"">acer FA100 2TB M.2 SSD 2280 NVMe Gen3 x4 Internal Solid State Drive, Up to 8 Gb/s, Storage for PC and Laptops - BL.9BWWA.121</a>",,,,
$0.05 ,$54.02 ,$28 ,512 GB,3 years,Internal,SSD,New,"fanxiang S101 512GB SSD SATA III 6Gb/s 2.5"" Internal Solid State Drive, Read Speed up to 550MB/sec, Compatible with Laptop and PC Desktops(Black)","<a href=""https://www.amazon.com/dp/B09XDJPPMB"">fanxiang S101 512GB SSD SATA III 6Gb/s 2.5"" Internal Solid State Drive, Read Speed up to 550MB/sec, Compatible with Laptop and PC Desktops(Black)</a>",,,,
$0.05 ,$54.08 ,$649 ,3 TB x4,2 years,"External 3.5""",HDD,New,"QNAP TR-004-44WD-US 4 Bay DAS (USB Type-C) with 12TB Storage Capacity, Preconfigured RAID 5 WD Red Plus HDD Bundle","<a href=""https://www.amazon.com/dp/B0CZ9NSVZX"">QNAP TR-004-44WD-US 4 Bay DAS (USB Type-C) with 12TB Storage Capacity, Preconfigured RAID 5 WD Red Plus HDD Bundle</a>",,,,
$0.05 ,$54.10 ,$108 ,2 TB,5 years,M.2,NVMe,Used,"Western Digital WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E","<a href=""https://www.amazon.com/dp/B09QV5KJHV"">Western Digital WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E</a>","<a href=""https://www.amazon.com/dp/B09QV5KJHV"">Western Digital WD_BLACK 2TB SN770 NVMe Internal Gaming SSD Solid State Drive - Gen4 PCIe, M.2 2280, Up to 5,150 MB/s - WDS200T3X0E</a>",,,
$0.05 ,$54.17 ,$13 ,240 GB,3 years,Internal,SSD,Used,"Lexar 240GB NQ100 SSD 2.5” SATA III Internal Solid State Drive, Up to 550MB/s Read, Gray (LNQ100X240G-RNNNU)","<a href=""https://www.amazon.com/dp/B08TZXZ3PG"">Lexar 240GB NQ100 SSD 2.5” SATA III Internal Solid State Drive, Up to 550MB/s Read, Gray (LNQ100X240G-RNNNU)</a>","<a href=""https://www.amazon.com/dp/B08TZXZ3PG"">Lexar 240GB NQ100 SSD 2.5” SATA III Internal Solid State Drive, Up to 550MB/s Read, Gray (LNQ100X240G-RNNNU)</a>",,,
$0.05 ,$54.17 ,$65 ,1.2 TB,,Internal,SAS,Used,"Seagate 1.2TB HDD 10K RPM 2.5"" 12Gb/s SAS Hard Disk Drive Model: ST1200MM0099 DP/N: G2G54","<a href=""https://www.amazon.com/dp/B07XRJSTQX"">Seagate 1.2TB HDD 10K RPM 2.5"" 12Gb/s SAS Hard Disk Drive Model: ST1200MM0099 DP/N: G2G54</a>","<a href=""https://www.amazon.com/dp/B07XRJSTQX"">Seagate 1.2TB HDD 10K RPM 2.5"" 12Gb/s SAS Hard Disk Drive Model: ST1200MM0099 DP/N: G2G54</a>",,,
$0.05 ,$54.24 ,$28 ,512 GB,5 years,USB,Flash,Used,"SanDisk 512GB Ultra USB 3.0 Flash Drive - SDCZ48-512G-G46, Black","<a href=""https://www.amazon.com/dp/B083ZLJ5MG"">SanDisk 512GB Ultra USB 3.0 Flash Drive - SDCZ48-512G-G46, Black</a>","<a href=""https://www.amazon.com/dp/B083ZLJ5MG"">SanDisk 512GB Ultra USB 3.0 Flash Drive - SDCZ48-512G-G46, Black</a>",,,
$0.05 ,$54.28 ,$28 ,512 GB,,M.2,SATA,New,Silicon Power 512GB A55 M.2 SSD SATA III Internal Solid State Drive 2280 SU512GBSS3A55M28AC,"<a href=""https://www.amazon.com/dp/B07FPKTBTH"">Silicon Power 512GB A55 M.2 SSD SATA III Internal Solid State Drive 2280 SU512GBSS3A55M28AC</a>",,,,
$0.05 ,$54.37 ,$870 ,8 TB x2,,"External 3.5""",HDD,New,SanDisk Professional 16TB G-RAID Mirror 2-Bay RAID Array for Data Backup and Storage - Thunderbolt 3 Connectivity - Dual Drive Enclosure with Hardware RAID Bundle with PRO-Blade SSD Mag 1TB (2 Items),"<a href=""https://www.amazon.com/dp/B0CN6F5J67"">SanDisk Professional 16TB G-RAID Mirror 2-Bay RAID Array for Data Backup and Storage - Thunderbolt 3 Connectivity - Dual Drive Enclosure with Hardware RAID Bundle with PRO-Blade SSD Mag 1TB (2 Items)</a>",,,,
$0.05 ,$54.44 ,$49 ,900 GB,3 months,Internal,SAS,Used,"Dell 900GB 2.5"" 10K SAS 6Gbs HDD (RC34W) (Certified Refurbished)","<a href=""https://www.amazon.com/dp/B07GDW73FQ"">Dell 900GB 2.5"" 10K SAS 6Gbs HDD (RC34W) (Certified Refurbished)</a>",,,,
$0.06 ,$54.61 ,$7 ,64 GB x2,,microSD,Flash,New,"Silicon Power Elite 64GB microSDXC 2-Pack MicroSD Memory Card with Adapter for Nintendo-Switch, Wyze Cam","<a href=""https://www.amazon.com/dp/B08G81XVW4"">Silicon Power Elite 64GB microSDXC 2-Pack MicroSD Memory Card with Adapter for Nintendo-Switch, Wyze Cam</a>",,,,
$0.06 ,$54.65 ,$14 ,128 GB x2,,USB,Flash,New,Silicon Power 2 Pack 128GB USB 3.0/3.1 Gen1 USB Flash Drive Blaze B02,"<a href=""https://www.amazon.com/dp/B07Q5HMXTN"">Silicon Power 2 Pack 128GB USB 3.0/3.1 Gen1 USB Flash Drive Blaze B02</a>",,,,
$0.06 ,$54.67 ,$28 ,512 GB,5 years,M.2,NVMe,New,Patriot P300 M.2 PCIe Gen 3 x4 512GB Low-Power Consumption SSD,"<a href=""https://www.amazon.com/dp/B082BJ4679"">Patriot P300 M.2 PCIe Gen 3 x4 512GB Low-Power Consumption SSD</a>",,,,
$0.06 ,$54.67 ,$28 ,512 GB,,M.2,SATA,New,TEAMGROUP MS30 512GB with SLC Cache 3D NAND TLC M.2 2280 SATA III 6Gb/s Internal Solid State Drive SSD (Read/Write Speed up to 530/430 MB/s) Compatible with Laptop & PC Desktop TM8PS7512G0C101,"<a href=""https://www.amazon.com/dp/B07H21182F"">TEAMGROUP MS30 512GB with SLC Cache 3D NAND TLC M.2 2280 SATA III 6Gb/s Internal Solid State Drive SSD (Read/Write Speed up to 530/430 MB/s) Compatible with Laptop & PC Desktop TM8PS7512G0C101</a>",,,,
$0.06 ,$54.67 ,$28 ,512 GB,5 years,microSD,Flash,New,Silicon Power 512GB Micro SD Card U3 SDXC microsdxc High Speed MicroSD Memory Card with Adapter,"<a href=""https://www.amazon.com/dp/B0B81WDJX1"">Silicon Power 512GB Micro SD Card U3 SDXC microsdxc High Speed MicroSD Memory Card with Adapter</a>",,,,
$0.06 ,$54.71 ,$55 ,1 TB,,"External 3.5""",HDD,Used,"Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey","<a href=""https://www.amazon.com/dp/B07C812LHQ"">Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey</a>","<a href=""https://www.amazon.com/dp/B07C812LHQ"">Maxone 1TB Ultra Slim Portable External Hard Drive HDD USB 3.0 for PC, Mac, Laptop, PS4, Xbox one - Charcoal Grey</a>",,,
$0.06 ,$54.95 ,$110 ,2 TB,5 years,M.2,NVMe,Used,"SanDisk 2TB Extreme M.2 NVMe SSD - PCIe Gen 4.0, Up to 5,150 MB/s - Internal Solid State Drive - SDSSDX3N-2T00-G26","<a href=""https://www.amazon.com/dp/B0CN1NFYZ6"">SanDisk 2TB Extreme M.2 NVMe SSD - PCIe Gen 4.0, Up to 5,150 MB/s - Internal Solid State Drive - SDSSDX3N-2T00-G26</a>","<a href=""https://www.amazon.com/dp/B0CN1NFYZ6"">SanDisk 2TB Extreme M.2 NVMe SSD - PCIe Gen 4.0, Up to 5,150 MB/s - Internal Solid State Drive - SDSSDX3N-2T00-G26</a>",,,
$0.06 ,$54.98 ,$220 ,4 TB,3 years,External,SSD,New,"Crucial X9 4TB Portable SSD - Reads up to 1050MB/s - PC & Mac, Lightweight Storage for backups, Games, Photos & Videos with Mylio Photos+ Offer - USB 3.2 External Solid State Drive - CT4000X9SSD902","<a href=""https://www.amazon.com/dp/B0CGVZL1M1"">Crucial X9 4TB Portable SSD - Reads up to 1050MB/s - PC & Mac, Lightweight Storage for backups, Games, Photos & Videos with Mylio Photos+ Offer - USB 3.2 External Solid State Drive - CT4000X9SSD902</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,1 year,M.2,NVMe,Used,SABRENT 1TB Rocket Nvme PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive (Latest Version) (SB-ROCKET-NVMe4-1TB).,"<a href=""https://www.amazon.com/dp/B07TLYWMYW"">SABRENT 1TB Rocket Nvme PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive (Latest Version) (SB-ROCKET-NVMe4-1TB).</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,3 years,"External 3.5""",HDD,New,"ADATA HD710 Pro 1TB USB 3.1 IP68 Waterproof/Shockproof/Dustproof Ruggedized External Hard Drive, Black (AHD710P-1TU31-CBK)","<a href=""https://www.amazon.com/dp/B0744NWZTM"">ADATA HD710 Pro 1TB USB 3.1 IP68 Waterproof/Shockproof/Dustproof Ruggedized External Hard Drive, Black (AHD710P-1TU31-CBK)</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,,"External 3.5""",HDD,New,"TEAMGROUP C175 1TB USB 3.2 Gen 1 (USB 3.1/3.0) Read 100MB/s Flash Thumb Drive, External Data Storage Memory Stick Compatible with Computer/Laptop Matte Black TC17531TBB01","<a href=""https://www.amazon.com/dp/B0CS2LY4VD"">TEAMGROUP C175 1TB USB 3.2 Gen 1 (USB 3.1/3.0) Read 100MB/s Flash Thumb Drive, External Data Storage Memory Stick Compatible with Computer/Laptop Matte Black TC17531TBB01</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,5 years,"Internal 3.5""",HDD,Used,Seagate Constellation ES 1 TB 7200RPM 6 Gb/s SATA 64MB Cache 3.5 Inch Internal Bare Drive (ST1000NM0011),"<a href=""https://www.amazon.com/dp/B0057BON8W"">Seagate Constellation ES 1 TB 7200RPM 6 Gb/s SATA 64MB Cache 3.5 Inch Internal Bare Drive (ST1000NM0011)</a>","<a href=""https://www.amazon.com/dp/B0057BON8W"">Seagate Constellation ES 1 TB 7200RPM 6 Gb/s SATA 64MB Cache 3.5 Inch Internal Bare Drive (ST1000NM0011)</a>",,,
$0.06 ,$54.99 ,$55 ,1 TB,5 years,M.2,NVMe,New,"fanxiang S501Q SSD 1TB PCle 3.0x4 Internal Solid State Drive, NVMe M.2 2280 Internal Solid State Drive, SLC Cache 3D NAND QLC Up to 3600MB/s for Laptop and PC Desktops","<a href=""https://www.amazon.com/dp/B0CNSVG1QB"">fanxiang S501Q SSD 1TB PCle 3.0x4 Internal Solid State Drive, NVMe M.2 2280 Internal Solid State Drive, SLC Cache 3D NAND QLC Up to 3600MB/s for Laptop and PC Desktops</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,5 years,M.2,NVMe,New,TEAMGROUP T-Force Z440 Lite 1TB TLC NAND NVMe Phison PS5021-E21T PCIe 4.0 Gen4x4 M.2 2280 Gaming SSD with Graphene Heat Spreader Works with PS5 Read/Write 5000/4200 MB/s TM8FFT001T0C129,"<a href=""https://www.amazon.com/dp/B0CSFR4P3J"">TEAMGROUP T-Force Z440 Lite 1TB TLC NAND NVMe Phison PS5021-E21T PCIe 4.0 Gen4x4 M.2 2280 Gaming SSD with Graphene Heat Spreader Works with PS5 Read/Write 5000/4200 MB/s TM8FFT001T0C129</a>",,,,
$0.06 ,$54.99 ,$55 ,1 TB,5 years,M.2,NVMe,New,"Fikwot FX550 NVMe SSD 1TB M.2 SSD PCIe 3.0×4, Read Up to 3,500 MB/s, M2 2280 Internal Soild State Drive, Compatible with Desktop, Laptop and Mini PC, QLC NAND Flash","<a href=""https://www.amazon.com/dp/B0D9YBN4L5"">Fikwot FX550 NVMe SSD 1TB M.2 SSD PCIe 3.0×4, Read Up to 3,500 MB/s, M2 2280 Internal Soild State Drive, Compatible with Desktop, Laptop and Mini PC, QLC NAND Flash</a>","<a href=""https://www.amazon.com/dp/B0D9YBN4L5"">Fikwot FX550 NVMe SSD 1TB M.2 SSD PCIe 3.0×4, Read Up to 3,500 MB/s, M2 2280 Internal Soild State Drive, Compatible with Desktop, Laptop and Mini PC, QLC NAND Flash</a>",,,
$0.06 ,$54.99 ,$55 ,1 TB,,M.2,NVMe,New,"LEVEN JPS330 1TB M.2 2230 SSD NVMe PCIe Gen 3x4 Internal Solid State Drive Compatible with Steam Deck, Microsoft Surface pro 9/pro 8/pro 7+/pro X/laptop3/laptop4/laptop go/book3","<a href=""https://www.amazon.com/dp/B0DKN53ZJR"">LEVEN JPS330 1TB M.2 2230 SSD NVMe PCIe Gen 3x4 Internal Solid State Drive Compatible with Steam Deck, Microsoft Surface pro 9/pro 8/pro 7+/pro X/laptop3/laptop4/laptop go/book3</a>",,,,
$0.06 ,$54.99 ,$55 ,100 GB x10,,Optical,BD-R,New,10 Pack Ritek BD-R XL BDXL 100GB Archival Grade Triple Layers 4X White Inkjet Hub Printable Blank Recordable Disc in Spindle,"<a href=""https://www.amazon.com/dp/B0BKTQWX91"">10 Pack Ritek BD-R XL BDXL 100GB Archival Grade Triple Layers 4X White Inkjet Hub Printable Blank Recordable Disc in Spindle</a>",,,,
$0.06 ,$55.00 ,$110 ,2 TB,1 year,M.2,NVMe,Used,SABRENT 2TB Rocket Nvme PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive (Latest Version) (SB-ROCKET-NVMe4-2TB).,"<a href=""https://www.amazon.com/dp/B07TN1MNJ4"">SABRENT 2TB Rocket Nvme PCIe 4.0 M.2 2280 Internal SSD Maximum Performance Solid State Drive (Latest Version) (SB-ROCKET-NVMe4-2TB).</a>",,,,
$0.06 ,$55.00 ,$110 ,2 TB,5 years,M.2,NVMe,New,"Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops","<a href=""https://www.amazon.com/dp/B0CJRTVLJ2"">Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops</a>","<a href=""https://www.amazon.com/dp/B0CJRTVLJ2"">Ediloca EN705 SSD 2TB PCIe Gen4, NVMe M.2 2280, 3D NAND TLC, Up to 4800MB/s, Internal Solid State Drive, Dynamic SLC Cache, Compatible with PS5、Laptops and PC Desktops</a>",,,
$0.06 ,$55.00 ,$110 ,2 TB,3 years,External,SSD,New,"Crucial X6 2TB Portable SSD - Up to 800MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT2000X6SSD9, Black","<a href=""https://www.amazon.com/dp/B08FSNKNSV"">Crucial X6 2TB Portable SSD - Up to 800MB/s - PC and Mac - USB 3.2 USB-C External Solid State Drive - CT2000X6SSD9, Black</a>",,,,
$0.06 ,$55.00 ,$110 ,2 TB,5 years,External,SSD,New,TEAMGROUP T-Force M200 Portable External SSD 2TB USB3.2 Gen2x2 Type-C Read/Write 2000MB/s Compatible with PS5 & Xbox & Chrome OS T8FED9002T0C102,"<a href=""https://www.amazon.com/dp/B09M8HDCJ3"">TEAMGROUP T-Force M200 Portable External SSD 2TB USB3.2 Gen2x2 Type-C Read/Write 2000MB/s Compatible with PS5 & Xbox & Chrome OS T8FED9002T0C102</a>",,,,
