Price per GB,Price per TB,Price,Capacity,Warranty,Form Factor,Technology,Condition,Affiliate Link,Affiliate Link HTML
kr0.166,kr166,kr2 659,16 TB,,"Internal 3.5""",HDD,Used,"Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk","<a href=""https://www.amazon.se/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk</a>","<a href=""https://www.amazon.se/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk</a>"
kr0.166,kr166,kr2 659,16 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro ST16000NE00 intern NAS-hårddisk 16 TB HDD, 3,5 tum, 7 200 rpm, CMR, 256 MB cache, SATA3 (renoverad)","<a href=""https://www.amazon.se/dp/B094PWBNSD"">Seagate IronWolf Pro ST16000NE00 intern NAS-hårddisk 16 TB HDD, 3,5 tum, 7 200 rpm, CMR, 256 MB cache, SATA3 (renoverad)</a>"
kr0.166,kr166,kr9 987,12 TB x5,,Tape,LTO-8,New,Dell - Kundsats - 5 x LTO Ultrium 8-12 TB / 30 TB,"<a href=""https://www.amazon.se/dp/B09C49HTH9"">Dell - Kundsats - 5 x LTO Ultrium 8-12 TB / 30 TB</a>"
kr0.174,kr174,kr1 390,8 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate Barracuda SATA 6Gb/s intern hårddisk 256 MB 3,5"" cache (ST8000DM004) (förnyad) mekanisk hårddisk 8 TB","<a href=""https://www.amazon.se/dp/B07JKJ4J93"">Seagate Barracuda SATA 6Gb/s intern hårddisk 256 MB 3,5"" cache (ST8000DM004) (förnyad) mekanisk hårddisk 8 TB</a>"
kr0.175,kr175,kr8 763,2.5 TB x20,,Tape,LTO-6,New,HP C7976AH LTO-6 Ultrium MP RW eko-fodral tom datatejp,"<a href=""https://www.amazon.se/dp/B00CNN1VFA"">HP C7976AH LTO-6 Ultrium MP RW eko-fodral tom datatejp</a>"
kr0.175,kr175,kr2 105,12 TB,,"Internal 3.5""",HDD,New,Kabelabel intern hårddisk Seagate 12 TB Exos X14 ST12000NM0558 SATA 7200RPM 256 MB NAS,"<a href=""https://www.amazon.se/dp/B0CWP8PF88"">Kabelabel intern hårddisk Seagate 12 TB Exos X14 ST12000NM0558 SATA 7200RPM 256 MB NAS</a>"
kr0.181,kr181,kr2 900,16 TB,,"Internal 3.5""",HDD,New,"Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk","<a href=""https://www.amazon.se/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk</a>","<a href=""https://www.amazon.se/dp/B07XM9RM95"">Seagate 16TB ST16000NM001G Exos X16 SATA 6Gb/s 7.2K RPM 512e/4Kn 256Mb, OEM, mekanisk hårddisk</a>"
kr0.181,kr181,kr2 900,16 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X16 16TB intern hårddisk, 8,9 cm (3,5 tum) SATA III ST16000NM001G Bulk","<a href=""https://www.amazon.se/dp/B0893P9C3X"">Seagate Exos X16 16TB intern hårddisk, 8,9 cm (3,5 tum) SATA III ST16000NM001G Bulk</a>"
kr0.185,kr185,kr22 150,6 TB x20,,Tape,LTO-7,New,HPE Ultrium LTO-7 RW Kassette 20 Stück mit festem Nummernkreis,"<a href=""https://www.amazon.se/dp/B017OUMWX6"">HPE Ultrium LTO-7 RW Kassette 20 Stück mit festem Nummernkreis</a>"
kr0.190,kr190,kr3 418,18 TB,5 years,"Internal 3.5""",HDD,New,"Seagate Exos X18, 18 TB, Intern Hårsddisk, SATA, CMR, 3,5"", Hyperscale SATA, 6Gb/s, 7200 RPM, 512e, 4KB Fast Format Low Latency, med cache (ST18000NM000J)","<a href=""https://www.amazon.se/dp/B08JV6PP9B"">Seagate Exos X18, 18 TB, Intern Hårsddisk, SATA, CMR, 3,5"", Hyperscale SATA, 6Gb/s, 7200 RPM, 512e, 4KB Fast Format Low Latency, med cache (ST18000NM000J)</a>"
kr0.192,kr192,kr1 537,8 TB,,"Internal 3.5""",HDD,Used,"Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)","<a href=""https://www.amazon.se/dp/B075WYBQXJ"">Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)</a>","<a href=""https://www.amazon.se/dp/B075WYBQXJ"">Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)</a>"
kr0.192,kr192,kr1 537,8 TB,2 years,"Internal 3.5""",HDD,Used,"Seagate Barracuda ST8000DM004 - Hårddisk - 8 TB - intern - 3,5"" - SATA 6Gb/s - buffert: 256 MB","<a href=""https://www.amazon.se/dp/B084BHPB1V"">Seagate Barracuda ST8000DM004 - Hårddisk - 8 TB - intern - 3,5"" - SATA 6Gb/s - buffert: 256 MB</a>","<a href=""https://www.amazon.se/dp/B084BHPB1V"">Seagate Barracuda ST8000DM004 - Hårddisk - 8 TB - intern - 3,5"" - SATA 6Gb/s - buffert: 256 MB</a>"
kr0.193,kr193,kr46 217,12 TB x20,,Tape,LTO-8,New,HPE LTO-8 Ultrium 30TB RW Custom Labeled Data Cartridge 20 Pack,"<a href=""https://www.amazon.se/dp/B07VXRPZ88"">HPE LTO-8 Ultrium 30TB RW Custom Labeled Data Cartridge 20 Pack</a>"
kr0.205,kr205,kr410,2 TB,1 year,"Internal 3.5""",HDD,New,"Sonnics 3,5 tum SATA-hårddisk 7200 RPM stationär PC/övervakning lagring hårddisk CCTV kamera CCTV system DVR (2 TB)","<a href=""https://www.amazon.se/dp/B0BLDSQCNJ"">Sonnics 3,5 tum SATA-hårddisk 7200 RPM stationär PC/övervakning lagring hårddisk CCTV kamera CCTV system DVR (2 TB)</a>"
kr0.208,kr208,kr1 247,6 TB,,Tape,LTO-7,New,Fujifilm LTO 7 ULTRIUM 6TB/15TB mask,"<a href=""https://www.amazon.se/dp/B01C3G2XGM"">Fujifilm LTO 7 ULTRIUM 6TB/15TB mask</a>"
kr0.209,kr209,kr837,4 TB,,"Internal 3.5""",HDD,Used,"Seagate Barracuda ST4000DM004 HDD, 4 TB","<a href=""https://www.amazon.se/dp/B07115ZSQ6"">Seagate Barracuda ST4000DM004 HDD, 4 TB</a>","<a href=""https://www.amazon.se/dp/B07115ZSQ6"">Seagate Barracuda ST4000DM004 HDD, 4 TB</a>"
kr0.212,kr212,kr5 079,24 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos X24 24TB interna servrar hårddiskar ST24000NM000C 3,5"" HDD SATA3 512MB 7200RPM (Refurbished)","<a href=""https://www.amazon.se/dp/B0DFCTBDRQ"">Seagate Exos X24 24TB interna servrar hårddiskar ST24000NM000C 3,5"" HDD SATA3 512MB 7200RPM (Refurbished)</a>"
kr0.214,kr214,kr535,2.5 TB,,Tape,LTO-6,New,"HP C7976B LTO-6 Ultrium BaFe RW datakassett (6250 GB, 400 MBps)","<a href=""https://www.amazon.se/dp/B00AZTUDGC"">HP C7976B LTO-6 Ultrium BaFe RW datakassett (6250 GB, 400 MBps)</a>"
kr0.214,kr214,kr1 713,8 TB,1 year,Internal,SAS,Used,"Seagate Företagskapacitet 3,5 | ST8000NM0075 | 8 TB 7200 RPM SAS 12 Gb/s 256 MB cache | 512e | Intern hårddisk (certifierad renoverad)","<a href=""https://www.amazon.se/dp/B07N7FKJ2J"">Seagate Företagskapacitet 3,5 | ST8000NM0075 | 8 TB 7200 RPM SAS 12 Gb/s 256 MB cache | 512e | Intern hårddisk (certifierad renoverad)</a>"
kr0.216,kr216,kr2 164,10 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos x10 10 TB SATA 6 Gb/s 256 MB cache Enterprise-hårddisk 3,5 tum (ST10000NM0086)","<a href=""https://www.amazon.se/dp/B01LXXV880"">Seagate Exos x10 10 TB SATA 6 Gb/s 256 MB cache Enterprise-hårddisk 3,5 tum (ST10000NM0086)</a>","<a href=""https://www.amazon.se/dp/B01LXXV880"">Seagate Exos x10 10 TB SATA 6 Gb/s 256 MB cache Enterprise-hårddisk 3,5 tum (ST10000NM0086)</a>"
kr0.218,kr218,kr3 922,18 TB,,Tape,LTO-9,New,Hewlett Packard Enterprise HPE LTO-9 45TB maskdatapatron,"<a href=""https://www.amazon.se/dp/B09H58JXN5"">Hewlett Packard Enterprise HPE LTO-9 45TB maskdatapatron</a>"
kr0.218,kr218,kr3 922,18 TB,2 years,"Internal 3.5""",HDD,New,"Seagate Exos X20 18 TB intern hårddisk – 3,5 tum hyperskala SATA 6 GB/s hårddisk, 7 200 varv/min, 2,5 m MTBF, 512e och 4 Kn FastFormat, låg latens med förbättrad cachning (ST18000NM003D)","<a href=""https://www.amazon.se/dp/B09MWLJ1P5"">Seagate Exos X20 18 TB intern hårddisk – 3,5 tum hyperskala SATA 6 GB/s hårddisk, 7 200 varv/min, 2,5 m MTBF, 512e och 4 Kn FastFormat, låg latens med förbättrad cachning (ST18000NM003D)</a>"
kr0.218,kr218,kr5 681,26 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate Exos 26 TB intern hårddisk, 3,5 tums hårddisk, SATA3, 256 MB cache (förnyad)","<a href=""https://www.amazon.se/dp/B0DHW22FHH"">Seagate Exos 26 TB intern hårddisk, 3,5 tums hårddisk, SATA3, 256 MB cache (förnyad)</a>"
kr0.221,kr221,kr4 863,22 TB,2 years,"Internal 3.5""",HDD,Used,Seagate Exos X22 22To 3.5p,"<a href=""https://www.amazon.se/dp/B0C4GQ93NN"">Seagate Exos X22 22To 3.5p</a>","<a href=""https://www.amazon.se/dp/B0C4GQ93NN"">Seagate Exos X22 22To 3.5p</a>"
kr0.221,kr221,kr3 543,16 TB,5 years,"Internal 3.5""",HDD,New,"Seagate Exos X16 ST16000NM001G SATA HDD, 16 TB","<a href=""https://www.amazon.se/dp/B07SPFPKF4"">Seagate Exos X16 ST16000NM001G SATA HDD, 16 TB</a>"
kr0.222,kr222,kr4 000,18 TB,2 years,Internal,SAS,New,"SEAGATE - Affärskritisk EXOS X18 SAS 18 TB 3,5"" SAS, 7200 v/min Helium 512E/4K, SSD-hårddisk","<a href=""https://www.amazon.se/dp/B08NCF8Z8Q"">SEAGATE - Affärskritisk EXOS X18 SAS 18 TB 3,5"" SAS, 7200 v/min Helium 512E/4K, SSD-hårddisk</a>"
kr0.224,kr224,kr897,4 TB,,"Internal 3.5""",HDD,Used,"Seagate IronWolf Pro, 4TB, NAS, Intern hårddisk, HDD, CMR 3,5"" SATA 6 GB/s, 256 MB-cache, RAID-lagring (ST4000NE001) (renoverad)","<a href=""https://www.amazon.se/dp/B092MP3CDM"">Seagate IronWolf Pro, 4TB, NAS, Intern hårddisk, HDD, CMR 3,5"" SATA 6 GB/s, 256 MB-cache, RAID-lagring (ST4000NE001) (renoverad)</a>"
kr0.224,kr224,kr897,4 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf PRO 4 TB intern NAS-hårddisk ST4000NE001 3,5 tums HDD SATA3","<a href=""https://www.amazon.se/dp/B0CRBJK29D"">Seagate IronWolf PRO 4 TB intern NAS-hårddisk ST4000NE001 3,5 tums HDD SATA3</a>"
kr0.225,kr225,kr6 299,28 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos 28 TB intern server hårddisk ST28000NM00C 3,5-tums HDD SATA 6Gb/s 7200RPM 512 MB cache","<a href=""https://www.amazon.se/dp/B0DP346CZX"">Seagate Exos 28 TB intern server hårddisk ST28000NM00C 3,5-tums HDD SATA 6Gb/s 7200RPM 512 MB cache</a>"
kr0.225,kr225,kr6 299,28 TB,1 year,"Internal 3.5""",HDD,Used,"Seagate Exos 28TB intern serverhårddisk ST28000NM000C 3,5"" HDD SATA 6Gb/s 7200RPM 512MB cache (förnyad)","<a href=""https://www.amazon.se/dp/B0DP4QKYK6"">Seagate Exos 28TB intern serverhårddisk ST28000NM000C 3,5"" HDD SATA 6Gb/s 7200RPM 512MB cache (förnyad)</a>"
kr0.225,kr225,kr3 153,14 TB,2 years,"Internal 3.5""",HDD,New,Seagate Exos X18 14Tb HDD 512E/4KN SATA,"<a href=""https://www.amazon.se/dp/B09YNLYMZZ"">Seagate Exos X18 14Tb HDD 512E/4KN SATA</a>"
kr0.228,kr228,kr2 849,2.5 TB x5,,Tape,LTO-6,New,"IBM LTO Ultrium 6 - Virgin tejp (105,4 x 102 x 21,5 mm, LTO, 10–45 °C, 10–80%)","<a href=""https://www.amazon.se/dp/B00B66J2QU"">IBM LTO Ultrium 6 - Virgin tejp (105,4 x 102 x 21,5 mm, LTO, 10–45 °C, 10–80%)</a>"
kr0.229,kr229,kr4 578,20 TB,,Internal,SSD,New,"Seagate Exos X20 8719706031554 Intern Hårddisk, Flerfärgad, 20 TB","<a href=""https://www.amazon.se/dp/B09MWJHDNC"">Seagate Exos X20 8719706031554 Intern Hårddisk, Flerfärgad, 20 TB</a>"
kr0.229,kr229,kr5 959,26 TB,,"Internal 3.5""",HDD,Used,"Seagate Exos 26 TB intern serverhårddisk ST26000NM00C 3,5-tums HDD SATA3, 7200RPM, 512 MB cache","<a href=""https://www.amazon.se/dp/B0DHLFXSTZ"">Seagate Exos 26 TB intern serverhårddisk ST26000NM00C 3,5-tums HDD SATA3, 7200RPM, 512 MB cache</a>"
kr0.230,kr230,kr576,2.5 TB,,Tape,LTO-6,New,"Hewlett-Packard Enterprise C7976A LTO6 Ultrium 6,25 TB","<a href=""https://www.amazon.se/dp/B00BRF330Q"">Hewlett-Packard Enterprise C7976A LTO6 Ultrium 6,25 TB</a>"
kr0.232,kr232,kr2 779,12 TB,5 years,"Internal 3.5""",HDD,Used,"Seagate Exos X16, 12 TB, Intern Hårsddisk, SATA, 3,5"", för företag och datacenter (ST12000NM001G)","<a href=""https://www.amazon.se/dp/B0852BMJ68"">Seagate Exos X16, 12 TB, Intern Hårsddisk, SATA, 3,5"", för företag och datacenter (ST12000NM001G)</a>","<a href=""https://www.amazon.se/dp/B0852BMJ68"">Seagate Exos X16, 12 TB, Intern Hårsddisk, SATA, 3,5"", för företag och datacenter (ST12000NM001G)</a>"
kr0.232,kr232,kr3 712,16 TB,2 years,"Internal 3.5""",HDD,New,HGST WD Ultrastar DC HC550 SATA 6Gb/s | 16 TB,"<a href=""https://www.amazon.se/dp/B08DHHMZBF"">HGST WD Ultrastar DC HC550 SATA 6Gb/s | 16 TB</a>"
kr0.232,kr232,kr464,2 TB,,"Internal 3.5""",HDD,New,"Seagate ST2000VM003 Pipeline HD 2 TB 3,5-tums intern hårddisk – svart","<a href=""https://www.amazon.se/dp/B008B0RQ1C"">Seagate ST2000VM003 Pipeline HD 2 TB 3,5-tums intern hårddisk – svart</a>"
kr0.233,kr233,kr583,2.5 TB,,Tape,LTO-6,New,Quantum HP CARTUCHO DE DATOS LTO ULTRIUM 6 2.5TB/6.25TB RW,"<a href=""https://www.amazon.se/dp/B06XTRVDTB"">Quantum HP CARTUCHO DE DATOS LTO ULTRIUM 6 2.5TB/6.25TB RW</a>"
kr0.238,kr238,kr3 329,14 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 14TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST14000NE0008)","<a href=""https://www.amazon.se/dp/B07GTGDZP8"">Seagate IronWolf Pro, 14TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST14000NE0008)</a>","<a href=""https://www.amazon.se/dp/B07GTGDZP8"">Seagate IronWolf Pro, 14TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST14000NE0008)</a>"
kr0.239,kr239,kr1 913,8 TB,,"Internal 3.5""",HDD,New,"Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)","<a href=""https://www.amazon.se/dp/B075WYBQXJ"">Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)</a>","<a href=""https://www.amazon.se/dp/B075WYBQXJ"">Seagate Barracuda, 8 TB, intern hårddisk, SATA 6 Gbit/s, 3,5"", 5400 rpm, 256 MB cache för stationär dator (ST8000DM004)</a>"
kr0.244,kr244,kr3 911,16 TB,,Internal,SAS,New,"Seagate Exos X18 3,5 tum 16 000 GB SAS","<a href=""https://www.amazon.se/dp/B08Z3NCPK4"">Seagate Exos X18 3,5 tum 16 000 GB SAS</a>"
kr0.250,kr250,kr5 990,24 TB,,"Internal 3.5""",HDD,New,"WD Ultrastar DC HC580 WUH722424ALE6L4 – hårddisk – 24 TB – intern – 8,9 cm (3,5 tum) – SATA 6 Gb/s – 7200 RPM – buffert: 512 MB","<a href=""https://www.amazon.se/dp/B0D1V2LPLX"">WD Ultrastar DC HC580 WUH722424ALE6L4 – hårddisk – 24 TB – intern – 8,9 cm (3,5 tum) – SATA 6 Gb/s – 7200 RPM – buffert: 512 MB</a>"
kr0.250,kr250,kr2 995,12 TB,,"Internal 3.5""",HDD,New,"Seagate IronWolf Pro, 12TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST12000NE0008)","<a href=""https://www.amazon.se/dp/B07LH55GC2"">Seagate IronWolf Pro, 12TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST12000NE0008)</a>","<a href=""https://www.amazon.se/dp/B07LH55GC2"">Seagate IronWolf Pro, 12TB, Intern Hårsddisk, NAS, CMR, 3,5"", SATA 6GB/s, 7200 RPM, 128 MB cache, för NAS RAID, 3 års Rescue Services (ST12000NE0008)</a>"
kr0.250,kr250,kr2 999,12 TB,,"Internal 3.5""",HDD,New,"Seagate Exos X14 12 TB intern hårddisk ST12000NM0558 3,5-tums HDD SATA3 256 MB","<a href=""https://www.amazon.se/dp/B0D2J32NGF"">Seagate Exos X14 12 TB intern hårddisk ST12000NM0558 3,5-tums HDD SATA3 256 MB</a>"
